date,crownlabs-#0,crownlabs-#1,desktop-#0,desktop-#1,desktop-#2,desktop-#3,desktop-#4,laptop-fulvio-#0,laptop-fulvio-#1,laptop-fulvio-#2,laptop-fulvio-#3,laptop-fulvio-#4,raspi-#0,raspi-#1,raspi-#2,raspi-#3,raspi-#4
2021-12-14 15:00:00 +0000 UTC,66.839,48.599,0.306,0.306,0.306,0.306,0.306,0.170,0.170,0.170,0.170,0.170,0.980,0.980,0.980,0.980,0.980
2021-12-14 15:01:00 +0000 UTC,66.839,48.599,0.306,0.306,0.306,0.306,0.306,0.170,0.170,0.170,0.170,0.170,0.980,0.980,0.980,0.980,0.980
2021-12-14 15:02:00 +0000 UTC,66.839,48.599,0.306,0.306,0.306,0.306,0.306,0.170,0.170,0.170,0.170,0.170,0.980,0.980,0.980,0.980,0.980
2021-12-14 15:03:00 +0000 UTC,66.839,48.599,0.306,0.306,0.306,0.306,0.306,0.170,0.170,0.170,0.170,0.170,0.980,0.980,0.980,0.980,0.980
2021-12-14 15:04:00 +0000 UTC,66.839,48.599,0.306,0.306,0.306,0.306,0.306,0.170,0.170,0.170,0.170,0.170,0.980,0.980,0.980,0.980,0.980
2021-12-14 15:05:00 +0000 UTC,66.839,48.599,0.306,0.306,0.306,0.306,0.306,0.170,0.170,0.170,0.170,0.170,0.980,0.980,0.980,0.980,0.980
2021-12-14 15:06:00 +0000 UTC,66.839,48.599,0.306,0.306,0.306,0.306,0.306,0.170,0.170,0.170,0.170,0.170,0.980,0.980,0.980,0.980,0.980
2021-12-14 15:07:00 +0000 UTC,66.839,48.599,0.306,0.306,0.306,0.306,0.306,0.170,0.170,0.170,0.170,0.170,0.980,0.980,0.980,0.980,0.980
2021-12-14 15:08:00 +0000 UTC,66.839,48.599,0.306,0.306,0.306,0.306,0.306,0.170,0.170,0.170,0.170,0.170,0.980,0.980,0.980,0.980,0.980
2021-12-14 15:09:00 +0000 UTC,66.839,48.599,0.306,0.306,0.306,0.306,0.306,0.170,0.170,0.170,0.170,0.170,0.980,0.980,0.980,0.980,0.980
